Himalaya,Rs. 143,"4.5
|
30.9k",Neem Face Wash 150 ml,Rs. 205,Rs. 143,(30% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-purifying-neem-face-wash-for-acne-prone-skin-150-ml/6628442/buy
Biotique,Rs. 148,"4.5
|
38.5k",Skin Moisturizer 190ml,Rs. 330,Rs. 148,(55% OFF),Personal Care,https://www.myntra.com/day-cream/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy
SWISS BEAUTY,Rs. 155,"4.3
|
4.1k",Long Lash Mascara - Black,Rs. 299,Rs. 155,(48% OFF),Personal Care,https://www.myntra.com/mascara/swiss+beauty/-swiss-beauty-precision-thickening-long-lash-mascara---black/15580056/buy
Philips,Rs. 686,"4.2
|
3.1k",SkinProtect Beard Trimmer,Rs. 995,Rs. 686,(31% OFF),Personal Care,https://www.myntra.com/trimmer/philips/philips-skinprotect-beard-trimmer-bt123218-last-4x-longer-self-sharpening-blades--blue/22358346/buy
Philips,Rs. 1690,"4.4
|
512",Women BRR454/00 Face Trimmer,Rs. 2195,Rs. 1690,(23% OFF),Personal Care,https://www.myntra.com/trimmer/philips/philips-facial-hair-remover-female-trimmer-brr45400-360-degree-hypoallergenic-head---pink/21396014/buy
Garnier,Rs. 174,"4.3
|
858",Hair Color-Golden Brown 7.3,Rs. 249,Rs. 174,(30% OFF),Personal Care,https://www.myntra.com/hair-colour/garnier/garnier-color-naturals-ultra-hair-color-55ml--50g---golden-brown-73/10696774/buy
Bella Vita Organic,Rs. 351,"4.3
|
5.6k",Pack of 10 Luxury EDP Gift Set,Rs. 399,Rs. 351,(12% OFF),Personal Care,https://www.myntra.com/perfume/bella+vita+organic/bella-vita-organic-pack-of-10-luxury-long-lasting-edp-fragrance-gift-set---5-ml-each/22358788/buy
The Derma co.,Rs. 216,"4.4
|
2.1k",10% Niacinamide Serum 10ml,Rs. 249,Rs. 216,(13% OFF),Personal Care,https://www.myntra.com/serum-and-gel/the+derma+co./the-derma-co-10-niacinamide-serum-for-acne-marks--oil-control---10ml/18000278/buy
Denver,Rs. 131,"4.4
|
17.8k",Men Hamilton Deodorant,Rs. 280,Rs. 131,(53% OFF),Personal Care,https://www.myntra.com/deodorant/denver/denver-men-hamilton-deodorant-127-g-200-ml/4374595/buy
Vaseline,Rs. 180,"4.6
|
8.8k",Cocoa Glow Body Lotion,Rs. 475,Rs. 180,(62% OFF),Personal Care,https://www.myntra.com/body-cream-and-lotion/vaseline/vaseline-intensive-care-cocoa-glow-body-lotion-400-ml/10443434/buy
Whisper,Rs. 390,"4.6
|
215",Skinlove XL Soft Sanitary Pads,Rs. 600,Rs. 390,(35% OFF),Personal Care,https://www.myntra.com/sanitary-napkins/whisper/whisper-ultra-skinlove-soft-thin-irritation-free-xl-sanitary-pads---50-pads/13335720/buy
Lifelong,Rs. 675,"4.1
|
3.9k",Cordless Beard Trimmer,Rs. 1500,Rs. 675,(55% OFF),Personal Care,https://www.myntra.com/trimmer/lifelong/lifelong-men-llpcm05-cordless-beard-trimmer---black/11838468/buy
NOVA,Rs. 1077,"4
|
2.9k",Men NG-1152 Cordless Trimmer,Rs. 1995,Rs. 1077,(46% OFF),Personal Care,https://www.myntra.com/trimmer/nova/nova-men-ng-1152-usb-cordless-trimmer---black/9548047/buy
Nivea,Rs. 249,"4.5
|
1.8k",Body Lotion,Rs. 499,Rs. 249,(50% OFF),Personal Care,https://www.myntra.com/body-cream-and-lotion/nivea/nivea-express-hydration-body-lotion/672607/buy
Bella Vita Organic,Rs. 579,"4.5
|
1.7k",Date Woman Eau De Parfum - 100 ml,Rs. 999,Rs. 579,(42% OFF),Personal Care,https://www.myntra.com/perfume/bella+vita+organic/bella-vita-organic-date-woman-eau-de-parfum---100-ml/22364340/buy
FACES CANADA,Rs. 112,"4.4
|
16.7k",Weightless Stay Matte Compact - Natural 02,Rs. 225,Rs. 112,(50% OFF),Personal Care,https://www.myntra.com/compact/faces+canada/faces-canada-weightless-stay-matte-compact-spf20-with-vitamin-e--shea-butter-9g---natural-02/10924310/buy
Parachute,Rs. 149,"4.4
|
1k",Aloe Vera Coconut Hair Oil,Rs. 213,Rs. 149,(30% OFF),Personal Care,https://www.myntra.com/hair-oil/parachute/parachute-advansed-aloe-vera-enriched-coconut-hair-oil---400-ml/11806906/buy
NOVA,Rs. 406,"3.9
|
589",NHP 8105 Foldable Hair Dryer,Rs. 945,Rs. 406,(57% OFF),Personal Care,https://www.myntra.com/dryers/nova/nova-nhp-8105-silky-shine-hot--cold-foldable-1200w-hair-dryer---black--blue/21762662/buy
Revlon,Rs. 160,"4.3
|
20",Color n Care Hair Colour- 1,Rs. 200,Rs. 160,(20% OFF),Personal Care,https://www.myntra.com/hair-colour/revlon/revlon-color-n-care-nourishing-permanent-hair-colour-with-shea-butter---natural-black-1/23571020/buy
Park Avenue,Rs. 139,"4.3
|
1.6k",Men Savanna Fresh Perfume,Rs. 349,Rs. 139,(60% OFF),Personal Care,https://www.myntra.com/body-mist-and-spray/park+avenue/park-avenue-men-voyage-savanna-fresh-premium-perfume---100-g-120ml/23267302/buy
Garnier,Rs. 113,"4.4
|
2.6k",Unisex Strengthening Shampoo,Rs. 189,Rs. 113,(40% OFF),Personal Care,https://www.myntra.com/shampoo/garnier/garnier-fructis-unisex-long--strong-strengthening-shampoo-175-ml/10844934/buy
Nivea,Rs. 132,"4.5
|
14.3k",Men Deep Impact Roll-On 50 ml,Rs. 240,Rs. 132,(45% OFF),Personal Care,https://www.myntra.com/roll-ons/nivea/nivea-men-black-carbon-deep-impact-freshness-roll-on-deodrant-50-ml/6846682/buy
Biotique,Rs. 137,"4.3
|
19.5k",Coconut Instant Glow Cream,Rs. 250,Rs. 137,(45% OFF),Personal Care,https://www.myntra.com/day-cream/biotique/biotique-coconut-brightening-instant-glow-cream---50-g/1661415/buy
SWISS BEAUTY,Rs. 213,"4.4
|
2.7k",Eyeshadow Palette -Shade 2,Rs. 329,Rs. 213,(35% OFF),Personal Care,https://www.myntra.com/eyeshadow/swiss+beauty/swiss-beauty-ultimate-eyeshadow-palette--shade-2/15580024/buy
SKINN,Rs. 496,"4.5
|
9.7k",Women Celeste EDP 20 ml,Rs. 645,Rs. 496,(23% OFF),Personal Care,https://www.myntra.com/perfume/skinn/skinn-by-titan-women-celeste-eau-de-parfum-20-ml/2316553/buy
Olay,Rs. 149,"4.4
|
6k",Cream with UV Protection,Rs. 199,Rs. 149,(25% OFF),Personal Care,https://www.myntra.com/day-cream/olay/olay-natural-aura-radiance-cream-with-vitamin-b3-pro-b5-e--uv-protection--40-g/13509834/buy
Lakme,Rs. 129,"4.4
|
7.5k",UV Sunscreen Lotion,Rs. 245,Rs. 129,(47% OFF),Personal Care,https://www.myntra.com/face-sunscreen/lakme/lakme-women-sun-expert-uv-sunscreen-lotion-50-ml/154046/buy
Hair & Care,Rs. 124,"4.4
|
333",Set of 2 Non Sticky Hair Oil,Rs. 215,Rs. 124,(42% OFF),Personal Care,https://www.myntra.com/hair-oil/hair+%26+care/hair--care-set-of-2-damage-repair-triple-blend-non-sticky-hair-oil/16002152/buy
Roadster,Rs. 399,"4.2
|
5.6k",Men By The Sea Eau De Parfum,Rs. 799,Rs. 399,(50% OFF),Personal Care,https://www.myntra.com/perfume/roadster/roadster-men-by-the-sea-eau-de-parfum---100-ml/16750096/buy
Dove,Rs. 171,"4.5
|
3k",Hair Fall Rescue Conditioner,Rs. 245,Rs. 171,(30% OFF),Personal Care,https://www.myntra.com/conditioner/dove/dove-hair-fall-rescue-hair-conditioner-with-sunflower-oil-and-moisture-lock-175-ml/365118/buy
Biotique,Rs. 94,"4.5
|
32k",Bio Fruit Whitening Sustainable Lip Balm,Rs. 210,Rs. 94,(55% OFF),Personal Care,https://www.myntra.com/lip-balm/biotique/biotique-bio-fruit-whitening-sustainable-lip-balm-12-g/1919998/buy
Himalaya,Rs. 141,"4.4
|
1.1k",Nourishing Body Lotion 400ml,Rs. 330,Rs. 141,(57% OFF),Personal Care,https://www.myntra.com/body-cream-and-lotion/himalaya/himalaya-nourishing-body-lotion-400ml/6627268/buy
Veet,Rs. 173,"4.4
|
1.5k",Hair Removal Cream,Rs. 280,Rs. 173,(38% OFF),Personal Care,https://www.myntra.com/shaving-and-hair-removal/veet/veet-hair-removal-cream---normal-skin-100-g/2212863/buy
SKINN,Rs. 496,"4.4
|
10.4k",Men Raw Eau de Parfum 20 ml,Rs. 645,Rs. 496,(23% OFF),Personal Care,https://www.myntra.com/perfume/skinn/skinn-by-titan-men-raw-eau-de-parfum-20-ml/2316547/buy
Nivea,Rs. 183,"4.5
|
5.6k",Creme Moisturiser 100g,Rs. 245,Rs. 183,(25% OFF),Personal Care,https://www.myntra.com/day-cream/nivea/nivea-creme-multi-purpose-moisturiser-protective-skin-care-cream-100g/125322/buy
Biotique,Rs. 94,"4.5
|
32k",Bio Fruit Whitening Sustainable Lip Balm,Rs. 210,Rs. 94,(55% OFF),Personal Care,https://www.myntra.com/lip-balm/biotique/biotique-bio-fruit-whitening-sustainable-lip-balm-12-g/1919998/buy
Veet,Rs. 173,"4.4
|
1.5k",Hair Removal Cream,Rs. 280,Rs. 173,(38% OFF),Personal Care,https://www.myntra.com/shaving-and-hair-removal/veet/veet-hair-removal-cream---normal-skin-100-g/2212863/buy
indulekha,Rs. 198,"4.4
|
12.9k",Bringha Hair Oil 50 ml,Rs. 234,Rs. 198,(15% OFF),Personal Care,https://www.myntra.com/hair-oil/indulekha/indulekha-bringha-hair-oil-50-ml/2508147/buy
DressBerry,Rs. 359,"4.4
|
1.7k",Women Once Up A Dream EDP 30ml,Rs. 799,Rs. 359,(55% OFF),Personal Care,https://www.myntra.com/perfume/dressberry/dressberry-women-day-dreamer---once-up-a-dream-eau-de-parfum-50-ml/15118746/buy
ELLE 18,Rs. 101,"4.1
|
698",Liquid Lip Color - Red,Rs. 135,Rs. 101,(25% OFF),Personal Care,https://www.myntra.com/lipstick/elle+18/elle-18-liquid-lip-color---wanderlust-red/15734112/buy
The Derma co.,Rs. 216,"4.4
|
2.1k",10% Niacinamide Serum 10ml,Rs. 249,Rs. 216,(13% OFF),Personal Care,https://www.myntra.com/serum-and-gel/the+derma+co./the-derma-co-10-niacinamide-serum-for-acne-marks--oil-control---10ml/18000278/buy
Biotique,Rs. 111,"4.3
|
14.5k",Bio Neem Sustainable Shampoo & Conditioner,Rs. 185,Rs. 111,(40% OFF),Personal Care,https://www.myntra.com/shampoo/biotique/biotique-bio-neem-margosa-anti-dandruff-sustainable-shampoo--conditioner-180-ml/10862310/buy
Lakme,Rs. 209,"4.4
|
10.6k",Sun Expert Ultra Matte Compact,Rs. 299,Rs. 209,(30% OFF),Personal Care,https://www.myntra.com/compact/lakme/lakme-sun-expert-ultra-matte-spf-40-pa-compact---7g/11629078/buy
TRESemme,Rs. 153,"4.4
|
728",Bond Strength Shampoo - 185 ml,Rs. 256,Rs. 153,(40% OFF),Personal Care,https://www.myntra.com/shampoo/tresemme/tresemme-bond-plex-repair-shampoo-with-bonding-complex-technology---185ml/20875348/buy
Blue Heaven,Rs. 110,"4.5
|
1.2k",Jelly & Butter Lip Balm- 3.2 g,Rs. 200,Rs. 110,(45% OFF),Personal Care,https://www.myntra.com/lip-balm/blue+heaven/blue-heaven-jelly--butter-hydrating-lip-balm-with-shea-butter--vitamin-e---dusty-rose/19765352/buy
Parachute,Rs. 173,"4.5
|
11.9k",Women Body Lotion 400 ml,Rs. 385,Rs. 173,(55% OFF),Personal Care,https://www.myntra.com/body-cream-and-lotion/parachute/parachute-women-advansed-deep-nourish-body-lotion-with-pure-coconut-milk-400-ml/2505573/buy
Colorbar,Rs. 116,"4.5
|
4.9k",Sindoor - My Maroon 002,Rs. 145,Rs. 116,(20% OFF),Personal Care,https://www.myntra.com/sindoor/colorbar/colorbar-sindoor-38-ml---my-maroon-002/9187845/buy
WOW SKIN SCIENCE,Rs. 188,"4.4
|
3.9k",Aloe Vera Beauty Gel,Rs. 299,Rs. 188,( 37 % OFF),Personal Care,https://www.myntra.com/serum-and-gel/wow+skin+science/wow-aloe-vera-multipurpose-beauty-gel-for-skin-and-hair-150-ml/12415738/buy
FACES CANADA,Rs. 146,"4.3
|
5.2k",Weightless Stay Matte Compact - Ivory 01,Rs. 225,Rs. 146,(35% OFF),Personal Care,https://www.myntra.com/compact/faces+canada/faces-canada-weightless-stay-matte-compact-spf20-with-vitamin-e--shea-butter-9g---ivory-01/10924312/buy
Roadster,Rs. 399,"4.2
|
5.6k",Men By The Sea Eau De Parfum,Rs. 799,Rs. 399,(50% OFF),Personal Care,https://www.myntra.com/perfume/roadster/roadster-men-by-the-sea-eau-de-parfum---100-ml/16750096/buy
Blue Heaven,Rs. 101,"4.1
|
1.5k",LiquidLipcolor MysticMaroon-05,Rs. 135,Rs. 101,(25% OFF),Personal Care,https://www.myntra.com/lipstick/blue+heaven/blue-heaven-hyperstay-liquid-matte-lipcolor-6ml---mystic-maroon-05/14428264/buy
NOVA,Rs. 391,"4.1
|
482",NHP8103 Silky Shine Hair Dryer,Rs. 699,Rs. 391,(44% OFF),Personal Care,https://www.myntra.com/dryers/nova/nova-nhp-8103--silky-shine-1300w-hot--cold-foldable-hair-dryer---red--white/21762672/buy
Park Avenue,Rs. 299,"4.3
|
2k",Harmony Eau De Parfum -100 ml,Rs. 749,Rs. 299,(60% OFF),Personal Care,https://www.myntra.com/perfume/park+avenue/park-avenue-harmony-eau-de-parfum---100-ml/16687124/buy
Fogg,Rs. 325,"4.3
|
3.7k",Men Scent Impressio EDP 100 ml,Rs. 650,Rs. 325,(50% OFF),Personal Care,https://www.myntra.com/perfume/fogg/fogg-men-scent-impressio-long-lasting-eau-de-parfum---100-ml/8788427/buy
Maybelline,Rs. 209,"4.3
|
4.3k",Brow Pencil - Natural Brown,Rs. 349,Rs. 209,(40% OFF),Personal Care,https://www.myntra.com/eyebrow-enhancer/maybelline/maybelline-new-york-define--blend-brow-pencil---natural-brown-016-g/12388362/buy
VILLAIN,Rs. 499,"4.2
|
6",Men Voltage Eau De Parfum,Rs. 799,Rs. 499,(Rs. 300 OFF),Personal Care,https://www.myntra.com/perfume/villain/villain-men-voltage-eau-de-parfum---100ml/26012358/buy
SKINN,Rs. 496,"4.4
|
10.4k",Men Raw Eau de Parfum 20 ml,Rs. 645,Rs. 496,(23% OFF),Personal Care,https://www.myntra.com/perfume/skinn/skinn-by-titan-men-raw-eau-de-parfum-20-ml/2316547/buy
Parachute,Rs. 119,"4.5
|
4.1k",Set of 2 Coconut Hair Oils,Rs. 171,Rs. 119,(30% OFF),Personal Care,https://www.myntra.com/hair-oil/parachute/parachute-set-of-2-advansed-aloe-vera-enriched-coconut-hair-oils---250-ml--75-ml/11805330/buy
LOreal,Rs. 279,"4.4
|
2.3k",Glycolic Bright Night Cream,Rs. 399,Rs. 279,(30% OFF),Personal Care,https://www.myntra.com/night-cream/loreal/loreal-paris-glycolic-bright-glowing-night-cream-for-dark-spot-removal---15-ml/19469322/buy
ELLE 18,Rs. 101,"4.1
|
1.4k",Lip Color Rhubarb Red R53,Rs. 135,Rs. 101,(25% OFF),Personal Care,https://www.myntra.com/lipstick/elle+18/elle-18-liquid-lip-color-rhubarb-red-r53/15734088/buy
Philips,Rs. 911,"4.2
|
16.1k",BT3101/15 Beard Trimmer,Rs. 1495,Rs. 911,(39% OFF),Personal Care,https://www.myntra.com/trimmer/philips/philips-cordless-beard-trimmer-bt310115-lift--trim-tech-with-45mins-runtime---white/11915238/buy
Ponds,Rs. 249,"4.3
|
565",Bright Beauty Serum-28ml,Rs. 499,Rs. 249,(50% OFF),Personal Care,https://www.myntra.com/serum-and-gel/ponds/ponds-bright-beauty-anti-pigmentation-serum---28ml/15506310/buy
Biotique,Rs. 96,"4.2
|
19.4k",Unisex Protein Sustainable Shampoo 190 ml,Rs. 215,Rs. 96,(55% OFF),Personal Care,https://www.myntra.com/shampoo/biotique/biotique-bio-kelp-protein-sustainable-shampoo-for-falling-hair-intensive-hair-growth-treatment--190-ml/1919974/buy
indulekha,Rs. 108,"4.3
|
7.6k",Anti-Hairfall Shampoo 200 ml,Rs. 135,Rs. 108,(20% OFF),Personal Care,https://www.myntra.com/shampoo/indulekha/indulekha-unisex-bringha-anti-hairfall-shampoo-100-ml/2508209/buy
BEARDO,Rs. 420,"4.3
|
10.5k",Whisky Smoke EDP 100 ml,Rs. 1200,Rs. 420,(65% OFF),Personal Care,https://www.myntra.com/perfume/beardo/beardo-men-whisky-smoke-eau-de-parfum---100-ml/14536302/buy
everteen,Rs. 193,"4.1
|
490",XXL Sanitary Napkin Pads,Rs. 399,Rs. 193,(Rs. 206 OFF),Personal Care,https://www.myntra.com/sanitary-napkins/everteen/everteen-xxl-sanitary-napkin-pads-with-neem--safflower---40-pieces/18766450/buy
Lifelong,Rs. 576,"3.9
|
1.2k",Cordless Beard Trimmer,Rs. 1200,Rs. 576,(52% OFF),Personal Care,https://www.myntra.com/trimmer/lifelong/lifelong-men-black-cordless-beard-trimmer-llpcm13/11878592/buy
Bella Vita Organic,Rs. 579,"4.5
|
1.7k",Date Woman Eau De Parfum - 100 ml,Rs. 999,Rs. 579,(42% OFF),Personal Care,https://www.myntra.com/perfume/bella+vita+organic/bella-vita-organic-date-woman-eau-de-parfum---100-ml/22364340/buy
Biotique,Rs. 159,"4.3
|
32.7k",Fruit Brightening Face Wash,Rs. 265,Rs. 159,(40% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-pure--natural-fruit-brightening-face-wash---200-ml/9314855/buy
ELLE 18,Rs. 101,"4.2
|
1.5k",Lip Color-Tawny Wood B92,Rs. 135,Rs. 101,(25% OFF),Personal Care,https://www.myntra.com/lipstick/elle+18/elle-18-women-liquid-matte-lip-color---tawny-wood-b92/15734072/buy
Biotique,Rs. 147,"4.4
|
8.4k",Nectar Sunscreen Lotion 30 SPF,Rs. 245,Rs. 147,(40% OFF),Personal Care,https://www.myntra.com/face-sunscreen/biotique/biotique-bio-morning-nectar-visibly-flawless-sustainable-sunscreen-lotion-with-spf-30-uvauvb-120ml/1661475/buy
Nivea,Rs. 174,"4.4
|
6.9k",Men Spot Reduction Face Wash,Rs. 249,Rs. 174,(30% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/nivea/nivea-men-dark-spot-reduction-face-wash-with-10x-whitening-effect---100-g/9686499/buy
Garnier,Rs. 167,"4.3
|
487",Color Naturals Light Brown Cream Nourishing Permanent Hair Colour,Rs. 209,Rs. 167,(20% OFF),Personal Care,https://www.myntra.com/hair-colour/garnier/garnier-color-naturals-creme-light-brown-hair-color-5-70-ml--60-g/10844942/buy
Love Beauty & Planet,Rs. 262,"4.4
|
8.1k",Anti-Frizz Argan Oil Shampoo,Rs. 350,Rs. 262,(25% OFF),Personal Care,https://www.myntra.com/shampoo/love+beauty+%26+planet/love-beauty--planet-smooth-and-serene-anti-frizz-shampoo-with-argan-oil-200-ml/16412616/buy
Deborah,Rs. 134,"4.2
|
77",Fluid Velvet Matte Lipstick,Rs. 895,Rs. 134,(85% OFF),Personal Care,https://www.myntra.com/lipstick/deborah/deborah-milano-rossetto-fire-red-fluid-velvet-matte-lipstick-07/1865323/buy
LOreal,Rs. 178,"4.4
|
10.5k",Total Repair 5 Hair Serum,Rs. 229,Rs. 178,(22% OFF),Personal Care,https://www.myntra.com/hair-serum/loreal/loreal-total-repair-5-smoothening--repairing-hair-serum-40-ml/8052369/buy
ELLE 18,Rs. 101,"4.2
|
1.2k",Pink Blossom Liquid Lip Color,Rs. 135,Rs. 101,(25% OFF),Personal Care,https://www.myntra.com/lipstick/elle+18/elle-18-liquid-lip-color---pink-blossom/15734094/buy
Lakme,Rs. 112,"4.4
|
19.8k",Insta-Liner 9 ml - Black,Rs. 150,Rs. 112,(25% OFF),Personal Care,https://www.myntra.com/eyeliner/lakme/lakme-insta-liner-9-ml---black/11629082/buy
Lakme,Rs. 96,"4.3
|
3.8k",Lip Love Lip Care - Strawberry,Rs. 160,Rs. 96,(40% OFF),Personal Care,https://www.myntra.com/lip-balm/lakme/lakme-lip-love-chapstick-spf-15-lip-care---strawberry/9352403/buy
Bella Vita Organic,Rs. 575,"4.4
|
1.3k",Men G.O.A.T Long Lasting EDP,Rs. 799,Rs. 575,(28% OFF),Personal Care,https://www.myntra.com/perfume/bella+vita+organic/bella-vita-organic-men-goat-long-lasting-eau-de-parfum---100-ml/22366530/buy
Biotique,Rs. 99,"4.3
|
7k",Bio Green Apple Shampoo,Rs. 165,Rs. 99,(40% OFF),Personal Care,https://www.myntra.com/shampoo/biotique/biotique-bio-green-apple-fresh-daily-purifying-shampoo--conditioner-180-ml/10862282/buy
Lotus Herbals,Rs. 171,"4.4
|
4.2k",Sustainable Whiteglow 3 in 1 Deep Cleansing Skin Whitening Facial Foam,Rs. 285,Rs. 171,(40% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/lotus+herbals/lotus-herbals-sustainable-whiteglow-3-in-1-deep-cleansing-skin-whitening-facial-foam-100-g/11618786/buy
Bio Oil,Rs. 275,"4.4
|
11.9k",Specialist Skin Care Oil 60 ml,Rs. 550,Rs. 275,(50% OFF),Personal Care,https://www.myntra.com/massage-oils/bio+oil/bio-oil-face--body-oil-for-acne-scar-removal-pigmentation-dark-spots---60-ml/2505584/buy
Maybelline,Rs. 155,"4.4
|
18k",Fit Me Compact - Ivory 115,Rs. 259,Rs. 155,(40% OFF),Personal Care,https://www.myntra.com/compact/maybelline/maybelline-new-york-fit-me-matte--poreless-spf-32-compact-powder-6g---ivory-115/13609226/buy
SWISS BEAUTY,Rs. 161,"4.4
|
4.4k",Concealer - Sand Sable 02,Rs. 249,Rs. 161,(35% OFF),Personal Care,https://www.myntra.com/concealer/swiss+beauty/swiss-beauty-liquid-concealer---sand-sable-02/15580058/buy
Braun,Rs. 1699,"4.5
|
2.9k",Facial Hair Remover FS1000,Rs. 1999,Rs. 1699,(15% OFF),Personal Care,https://www.myntra.com/trimmer/braun/braun-mini-facial-hair-remover-fs1000-for-upper-lips-chin--cheeks/14920218/buy
Blue Heaven,Rs. 101,"4.2
|
487",Liquid Matte Lipcolor,Rs. 135,Rs. 101,(25% OFF),Personal Care,https://www.myntra.com/lipstick/blue+heaven/blue-heaven-hyperstay-liquid-matte-lipcolor--wild-plum-07/14428240/buy
FAIR AND HANDSOME,Rs. 101,"4.4
|
574",Men Radiance Face Cream 60 g,Rs. 175,Rs. 101,(42% OFF),Personal Care,https://www.myntra.com/day-cream/fair+and+handsome/fair-and-handsome-men-7-days-radiance-face-cream---60-g/17579584/buy
Vaseline,Rs. 180,"4.6
|
8.8k",Cocoa Glow Body Lotion,Rs. 475,Rs. 180,(62% OFF),Personal Care,https://www.myntra.com/body-cream-and-lotion/vaseline/vaseline-intensive-care-cocoa-glow-body-lotion-400-ml/10443434/buy
TRESemme,Rs. 161,"4.5
|
17.9k",Keratin Smooth Shampoo 185ml,Rs. 190,Rs. 161,(15% OFF),Personal Care,https://www.myntra.com/shampoo/tresemme/tresemme-keratin-smooth-shampoo-with-keratin--argan-oil-for-straight-hair-185-ml/6837541/buy
Garnier,Rs. 122,"4.3
|
2.5k",Vitamin C Serum Gel - 45g,Rs. 189,Rs. 122,(35% OFF),Personal Care,https://www.myntra.com/serum-and-gel/garnier/garnier-bright-complete-vitamin-c-serum-gel-for-instant-brighter-skin-with-lemon---45g/19629100/buy
SKINN,Rs. 496,"4.5
|
9.7k",Women Celeste EDP 20 ml,Rs. 645,Rs. 496,(23% OFF),Personal Care,https://www.myntra.com/perfume/skinn/skinn-by-titan-women-celeste-eau-de-parfum-20-ml/2316553/buy
Nivea,Rs. 122,"4.3
|
2.2k",Purifying Face Wash 150 ml,Rs. 245,Rs. 122,(50% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/nivea/nivea-purifying-face-wash-with-ocean-algae-and-hydra-iq-for-mixed-to-oily-skin-150-ml/2273966/buy
Renee,Rs. 245,"4.3
|
5.9k",Women Bloom EDP - 15 ml,Rs. 350,Rs. 245,(30% OFF),Personal Care,https://www.myntra.com/perfume/renee/renee-women-long-lasting-bloom-eau-de-parfum---15-ml/19184422/buy
Nivea,Rs. 458,"4.7
|
12",All In Winter Skincare Combo,Rs. 764,Rs. 458,(40% OFF),Personal Care,https://www.myntra.com/skin-care-combo/nivea/nivea-the-dunki-special-all-in-winter-skincare-combo/26439594/buy
